"TIME"	"GEO"	"AGE"	"SEX"	"Value"	"Flag.and.Footnotes"	"scenario"
"743"	2035	"Iceland"	"Total"	"Total"	"379,440"	NA	3
"744"	2040	"Iceland"	"Total"	"Total"	"391,038"	NA	3
"745"	2045	"Iceland"	"Total"	"Total"	"402,319"	NA	3
"746"	2050	"Iceland"	"Total"	"Total"	"413,377"	NA	3
"747"	2055	"Iceland"	"Total"	"Total"	"424,157"	NA	3
"748"	2060	"Iceland"	"Total"	"Total"	"434,683"	NA	3
"749"	2015	"Norway"	"Total"	"Total"	"5,177,382"	NA	3
"750"	2020	"Norway"	"Total"	"Total"	"5,551,024"	NA	3
"751"	2025	"Norway"	"Total"	"Total"	"5,964,613"	NA	3
"752"	2030	"Norway"	"Total"	"Total"	"6,383,776"	NA	3
"753"	2035	"Norway"	"Total"	"Total"	"6,784,713"	NA	3
"754"	2040	"Norway"	"Total"	"Total"	"7,154,123"	NA	3
"755"	2045	"Norway"	"Total"	"Total"	"7,485,698"	NA	3
"756"	2050	"Norway"	"Total"	"Total"	"7,772,455"	NA	3
"757"	2055	"Norway"	"Total"	"Total"	"8,021,878"	NA	3
"758"	2060	"Norway"	"Total"	"Total"	"8,256,930"	NA	3
"759"	2015	"Switzerland"	"Total"	"Total"	"8,224,199"	NA	3
"760"	2020	"Switzerland"	"Total"	"Total"	"8,675,443"	NA	3
"761"	2025	"Switzerland"	"Total"	"Total"	"9,138,421"	NA	3
"762"	2030	"Switzerland"	"Total"	"Total"	"9,588,083"	NA	3
"763"	2035	"Switzerland"	"Total"	"Total"	"10,007,051"	NA	3
"764"	2040	"Switzerland"	"Total"	"Total"	"10,388,620"	NA	3
"765"	2045	"Switzerland"	"Total"	"Total"	"10,730,248"	NA	3
"766"	2050	"Switzerland"	"Total"	"Total"	"11,017,982"	NA	3
"767"	2055	"Switzerland"	"Total"	"Total"	"11,249,249"	NA	3
"768"	2060	"Switzerland"	"Total"	"Total"	"11,449,966"	NA	3
"769"	2015	"European Union (28 countries)"	"Total"	"Total"	"508,201,535"	NA	4
"770"	2020	"European Union (28 countries)"	"Total"	"Total"	"512,018,934"	NA	4
"771"	2025	"European Union (28 countries)"	"Total"	"Total"	"514,349,343"	NA	4
"772"	2030	"European Union (28 countries)"	"Total"	"Total"	"515,646,362"	NA	4
"773"	2035	"European Union (28 countries)"	"Total"	"Total"	"516,301,828"	NA	4
"774"	2040	"European Union (28 countries)"	"Total"	"Total"	"516,144,576"	NA	4
"775"	2045	"European Union (28 countries)"	"Total"	"Total"	"514,502,970"	NA	4
"776"	2050	"European Union (28 countries)"	"Total"	"Total"	"510,825,755"	NA	4
"777"	2055	"European Union (28 countries)"	"Total"	"Total"	"505,076,032"	NA	4
"778"	2060	"European Union (28 countries)"	"Total"	"Total"	"497,707,180"	NA	4
"779"	2015	"Belgium"	"Total"	"Total"	"11,336,389"	NA	4
"780"	2020	"Belgium"	"Total"	"Total"	"11,812,217"	NA	4
"781"	2025	"Belgium"	"Total"	"Total"	"12,310,698"	NA	4
"782"	2030	"Belgium"	"Total"	"Total"	"12,804,091"	NA	4
"783"	2035	"Belgium"	"Total"	"Total"	"13,273,003"	NA	4
"784"	2040	"Belgium"	"Total"	"Total"	"13,696,483"	NA	4
"785"	2045	"Belgium"	"Total"	"Total"	"14,047,660"	NA	4
"786"	2050	"Belgium"	"Total"	"Total"	"14,303,313"	NA	4
"787"	2055	"Belgium"	"Total"	"Total"	"14,472,509"	NA	4
"788"	2060	"Belgium"	"Total"	"Total"	"14,597,030"	NA	4
"789"	2015	"Bulgaria"	"Total"	"Total"	"7,199,646"	NA	4
"790"	2020	"Bulgaria"	"Total"	"Total"	"6,969,523"	NA	4
"791"	2025	"Bulgaria"	"Total"	"Total"	"6,713,544"	NA	4
"792"	2030	"Bulgaria"	"Total"	"Total"	"6,446,010"	NA	4
"793"	2035	"Bulgaria"	"Total"	"Total"	"6,204,995"	NA	4
"794"	2040	"Bulgaria"	"Total"	"Total"	"6,004,849"	NA	4
"795"	2045	"Bulgaria"	"Total"	"Total"	"5,813,547"	NA	4
"796"	2050	"Bulgaria"	"Total"	"Total"	"5,619,167"	NA	4
"797"	2055	"Bulgaria"	"Total"	"Total"	"5,419,823"	NA	4
"798"	2060	"Bulgaria"	"Total"	"Total"	"5,205,735"	NA	4
"799"	2015	"Czech Republic"	"Total"	"Total"	"10,535,575"	NA	4
"800"	2020	"Czech Republic"	"Total"	"Total"	"10,635,337"	NA	4
"801"	2025	"Czech Republic"	"Total"	"Total"	"10,696,709"	NA	4
"802"	2030	"Czech Republic"	"Total"	"Total"	"10,720,747"	NA	4
"803"	2035	"Czech Republic"	"Total"	"Total"	"10,726,741"	NA	4
"804"	2040	"Czech Republic"	"Total"	"Total"	"10,752,039"	NA	4
"805"	2045	"Czech Republic"	"Total"	"Total"	"10,780,223"	NA	4
"806"	2050	"Czech Republic"	"Total"	"Total"	"10,757,224"	NA	4
"807"	2055	"Czech Republic"	"Total"	"Total"	"10,675,114"	NA	4
"808"	2060	"Czech Republic"	"Total"	"Total"	"10,539,944"	NA	4
"809"	2015	"Denmark"	"Total"	"Total"	"5,649,335"	NA	4
"810"	2020	"Denmark"	"Total"	"Total"	"5,768,346"	NA	4
"811"	2025	"Denmark"	"Total"	"Total"	"5,897,364"	NA	4
"812"	2030	"Denmark"	"Total"	"Total"	"6,017,394"	NA	4
"813"	2035	"Denmark"	"Total"	"Total"	"6,112,186"	NA	4
"814"	2040	"Denmark"	"Total"	"Total"	"6,175,021"	NA	4
"815"	2045	"Denmark"	"Total"	"Total"	"6,209,307"	NA	4
"816"	2050	"Denmark"	"Total"	"Total"	"6,218,950"	NA	4
"817"	2055	"Denmark"	"Total"	"Total"	"6,209,725"	NA	4
"818"	2060	"Denmark"	"Total"	"Total"	"6,191,046"	NA	4
"819"	2015	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,706,228"	NA	4
"820"	2020	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,577,370"	NA	4
"821"	2025	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"80,138,506"	NA	4
"822"	2030	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"79,380,249"	NA	4
"823"	2035	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"78,314,473"	NA	4
"824"	2040	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"76,865,776"	NA	4
"825"	2045	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"75,052,415"	NA	4
"826"	2050	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"72,904,964"	NA	4
"827"	2055	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"70,483,722"	NA	4
"828"	2060	"Germany (until 1990 former territory of the FRG)"	"Total"	"Total"	"67,955,154"	NA	4
"829"	2015	"Estonia"	"Total"	"Total"	"1,311,445"	NA	4
"830"	2020	"Estonia"	"Total"	"Total"	"1,283,260"	NA	4
"831"	2025	"Estonia"	"Total"	"Total"	"1,243,713"	NA	4
"832"	2030	"Estonia"	"Total"	"Total"	"1,201,530"	NA	4
"833"	2035	"Estonia"	"Total"	"Total"	"1,167,631"	NA	4
"834"	2040	"Estonia"	"Total"	"Total"	"1,145,134"	NA	4
"835"	2045	"Estonia"	"Total"	"Total"	"1,122,658"	NA	4
"836"	2050	"Estonia"	"Total"	"Total"	"1,097,293"	NA	4
"837"	2055	"Estonia"	"Total"	"Total"	"1,068,629"	NA	4
"838"	2060	"Estonia"	"Total"	"Total"	"1,036,135"	NA	4
"839"	2015	"Ireland"	"Total"	"Total"	"4,602,560"	NA	4
"840"	2020	"Ireland"	"Total"	"Total"	"4,604,647"	NA	4
"841"	2025	"Ireland"	"Total"	"Total"	"4,560,649"	NA	4
"842"	2030	"Ireland"	"Total"	"Total"	"4,526,888"	NA	4
"843"	2035	"Ireland"	"Total"	"Total"	"4,538,223"	NA	4
"844"	2040	"Ireland"	"Total"	"Total"	"4,598,979"	NA	4
"845"	2045	"Ireland"	"Total"	"Total"	"4,691,903"	NA	4
"846"	2050	"Ireland"	"Total"	"Total"	"4,793,954"	NA	4
"847"	2055	"Ireland"	"Total"	"Total"	"4,881,645"	NA	4
"848"	2060	"Ireland"	"Total"	"Total"	"4,943,007"	NA	4
"849"	2015	"Greece"	"Total"	"Total"	"10,977,538"	NA	4
"850"	2020	"Greece"	"Total"	"Total"	"10,695,486"	NA	4
"851"	2025	"Greece"	"Total"	"Total"	"10,366,900"	NA	4
"852"	2030	"Greece"	"Total"	"Total"	"10,044,018"	NA	4
"853"	2035	"Greece"	"Total"	"Total"	"9,751,344"	NA	4
"854"	2040	"Greece"	"Total"	"Total"	"9,477,730"	NA	4
"855"	2045	"Greece"	"Total"	"Total"	"9,204,802"	NA	4
"856"	2050	"Greece"	"Total"	"Total"	"8,911,805"	NA	4
"857"	2055	"Greece"	"Total"	"Total"	"8,582,126"	NA	4
"858"	2060	"Greece"	"Total"	"Total"	"8,222,630"	NA	4
"859"	2015	"Spain"	"Total"	"Total"	"46,388,462"	NA	4
"860"	2020	"Spain"	"Total"	"Total"	"45,760,016"	NA	4
"861"	2025	"Spain"	"Total"	"Total"	"44,933,031"	NA	4
"862"	2030	"Spain"	"Total"	"Total"	"44,334,369"	NA	4
"863"	2035	"Spain"	"Total"	"Total"	"44,067,447"	NA	4
"864"	2040	"Spain"	"Total"	"Total"	"44,110,009"	NA	4
"865"	2045	"Spain"	"Total"	"Total"	"44,330,552"	NA	4
"866"	2050	"Spain"	"Total"	"Total"	"44,520,503"	NA	4
"867"	2055	"Spain"	"Total"	"Total"	"44,559,726"	NA	4
"868"	2060	"Spain"	"Total"	"Total"	"44,349,623"	NA	4
"869"	2015	"France"	"Total"	"Total"	"66,172,283"	NA	4
"870"	2020	"France"	"Total"	"Total"	"67,586,635"	NA	4
"871"	2025	"France"	"Total"	"Total"	"68,807,144"	NA	4
"872"	2030	"France"	"Total"	"Total"	"69,922,639"	NA	4
"873"	2035	"France"	"Total"	"Total"	"70,866,404"	NA	4
"874"	2040	"France"	"Total"	"Total"	"71,515,301"	NA	4
"875"	2045	"France"	"Total"	"Total"	"71,805,944"	NA	4
"876"	2050	"France"	"Total"	"Total"	"71,815,587"	NA	4
"877"	2055	"France"	"Total"	"Total"	"71,627,853"	NA	4
"878"	2060	"France"	"Total"	"Total"	"71,290,014"	NA	4
"879"	2015	"Croatia"	"Total"	"Total"	"4,244,818"	NA	4
"880"	2020	"Croatia"	"Total"	"Total"	"4,195,266"	NA	4
"881"	2025	"Croatia"	"Total"	"Total"	"4,134,292"	NA	4
"882"	2030	"Croatia"	"Total"	"Total"	"4,065,121"	NA	4
"883"	2035	"Croatia"	"Total"	"Total"	"3,988,118"	NA	4
"884"	2040	"Croatia"	"Total"	"Total"	"3,903,768"	NA	4
"885"	2045	"Croatia"	"Total"	"Total"	"3,815,333"	NA	4
"886"	2050	"Croatia"	"Total"	"Total"	"3,724,105"	NA	4
"887"	2055	"Croatia"	"Total"	"Total"	"3,628,949"	NA	4
"888"	2060	"Croatia"	"Total"	"Total"	"3,529,549"	NA	4
"889"	2015	"Italy"	"Total"	"Total"	"60,942,697"	NA	4
"890"	2020	"Italy"	"Total"	"Total"	"61,914,840"	NA	4
"891"	2025	"Italy"	"Total"	"Total"	"62,864,774"	NA	4
"892"	2030	"Italy"	"Total"	"Total"	"63,811,273"	NA	4
"893"	2035	"Italy"	"Total"	"Total"	"64,701,514"	NA	4
"894"	2040	"Italy"	"Total"	"Total"	"65,392,602"	NA	4
"895"	2045	"Italy"	"Total"	"Total"	"65,690,972"	NA	4
"896"	2050	"Italy"	"Total"	"Total"	"65,424,986"	NA	4
"897"	2055	"Italy"	"Total"	"Total"	"64,635,483"	NA	4
"898"	2060	"Italy"	"Total"	"Total"	"63,558,921"	NA	4
"899"	2015	"Cyprus"	"Total"	"Total"	"872,959"	NA	4
"900"	2020	"Cyprus"	"Total"	"Total"	"890,086"	NA	4
"901"	2025	"Cyprus"	"Total"	"Total"	"903,117"	NA	4
"902"	2030	"Cyprus"	"Total"	"Total"	"915,886"	NA	4
"903"	2035	"Cyprus"	"Total"	"Total"	"930,395"	NA	4
"904"	2040	"Cyprus"	"Total"	"Total"	"950,079"	NA	4
"905"	2045	"Cyprus"	"Total"	"Total"	"976,465"	NA	4
"906"	2050	"Cyprus"	"Total"	"Total"	"1,009,032"	NA	4
"907"	2055	"Cyprus"	"Total"	"Total"	"1,042,813"	NA	4
"908"	2060	"Cyprus"	"Total"	"Total"	"1,071,624"	NA	4
"909"	2015	"Latvia"	"Total"	"Total"	"1,985,801"	NA	4
"910"	2020	"Latvia"	"Total"	"Total"	"1,878,393"	NA	4
"911"	2025	"Latvia"	"Total"	"Total"	"1,750,590"	NA	4
"912"	2030	"Latvia"	"Total"	"Total"	"1,625,682"	NA	4
"913"	2035	"Latvia"	"Total"	"Total"	"1,537,203"	NA	4
"914"	2040	"Latvia"	"Total"	"Total"	"1,491,462"	NA	4
"915"	2045	"Latvia"	"Total"	"Total"	"1,450,587"	NA	4
"916"	2050	"Latvia"	"Total"	"Total"	"1,410,000"	NA	4
"917"	2055	"Latvia"	"Total"	"Total"	"1,367,978"	NA	4
"918"	2060	"Latvia"	"Total"	"Total"	"1,324,566"	NA	4
"919"	2015	"Lithuania"	"Total"	"Total"	"2,900,911"	NA	4
"920"	2020	"Lithuania"	"Total"	"Total"	"2,668,575"	NA	4
"921"	2025	"Lithuania"	"Total"	"Total"	"2,418,076"	NA	4
"922"	2030	"Lithuania"	"Total"	"Total"	"2,189,032"	NA	4
"923"	2035	"Lithuania"	"Total"	"Total"	"2,037,638"	NA	4
"924"	2040	"Lithuania"	"Total"	"Total"	"1,968,219"	NA	4
"925"	2045	"Lithuania"	"Total"	"Total"	"1,908,563"	NA	4
"926"	2050	"Lithuania"	"Total"	"Total"	"1,850,645"	NA	4
"927"	2055	"Lithuania"	"Total"	"Total"	"1,790,788"	NA	4
"928"	2060	"Lithuania"	"Total"	"Total"	"1,733,168"	NA	4
"929"	2015	"Luxembourg"	"Total"	"Total"	"562,821"	NA	4
"930"	2020	"Luxembourg"	"Total"	"Total"	"631,911"	NA	4
"931"	2025	"Luxembourg"	"Total"	"Total"	"705,643"	NA	4
"932"	2030	"Luxembourg"	"Total"	"Total"	"780,346"	NA	4
"933"	2035	"Luxembourg"	"Total"	"Total"	"852,580"	NA	4
"934"	2040	"Luxembourg"	"Total"	"Total"	"918,763"	NA	4
"935"	2045	"Luxembourg"	"Total"	"Total"	"975,925"	NA	4
"936"	2050	"Luxembourg"	"Total"	"Total"	"1,021,081"	NA	4
"937"	2055	"Luxembourg"	"Total"	"Total"	"1,055,576"	NA	4
"938"	2060	"Luxembourg"	"Total"	"Total"	"1,084,964"	NA	4
"939"	2015	"Hungary"	"Total"	"Total"	"9,862,809"	NA	4
"940"	2020	"Hungary"	"Total"	"Total"	"9,791,737"	NA	4
"941"	2025	"Hungary"	"Total"	"Total"	"9,719,955"	NA	4
"942"	2030	"Hungary"	"Total"	"Total"	"9,627,469"	NA	4
"943"	2035	"Hungary"	"Total"	"Total"	"9,515,123"	NA	4
"944"	2040	"Hungary"	"Total"	"Total"	"9,388,477"	NA	4
"945"	2045	"Hungary"	"Total"	"Total"	"9,253,706"	NA	4
"946"	2050	"Hungary"	"Total"	"Total"	"9,092,366"	NA	4
"947"	2055	"Hungary"	"Total"	"Total"	"8,918,255"	NA	4
"948"	2060	"Hungary"	"Total"	"Total"	"8,725,960"	NA	4
"949"	2015	"Malta"	"Total"	"Total"	"426,126"	NA	4
"950"	2020	"Malta"	"Total"	"Total"	"437,770"	NA	4
"951"	2025	"Malta"	"Total"	"Total"	"447,464"	NA	4
"952"	2030	"Malta"	"Total"	"Total"	"453,658"	NA	4
"953"	2035	"Malta"	"Total"	"Total"	"456,226"	NA	4
"954"	2040	"Malta"	"Total"	"Total"	"456,325"	NA	4
"955"	2045	"Malta"	"Total"	"Total"	"455,668"	NA	4
"956"	2050	"Malta"	"Total"	"Total"	"455,195"	NA	4
"957"	2055	"Malta"	"Total"	"Total"	"454,664"	NA	4
"958"	2060	"Malta"	"Total"	"Total"	"453,330"	NA	4
"959"	2015	"Netherlands"	"Total"	"Total"	"16,876,159"	NA	4
"960"	2020	"Netherlands"	"Total"	"Total"	"17,116,406"	NA	4
"961"	2025	"Netherlands"	"Total"	"Total"	"17,319,855"	NA	4
"962"	2030	"Netherlands"	"Total"	"Total"	"17,452,148"	NA	4
"963"	2035	"Netherlands"	"Total"	"Total"	"17,481,895"	NA	4
"964"	2040	"Netherlands"	"Total"	"Total"	"17,384,675"	NA	4
"965"	2045	"Netherlands"	"Total"	"Total"	"17,170,787"	NA	4
"966"	2050	"Netherlands"	"Total"	"Total"	"16,884,927"	NA	4
"967"	2055	"Netherlands"	"Total"	"Total"	"16,556,678"	NA	4
"968"	2060	"Netherlands"	"Total"	"Total"	"16,210,824"	NA	4
"969"	2015	"Austria"	"Total"	"Total"	"8,550,737"	NA	4
"970"	2020	"Austria"	"Total"	"Total"	"8,786,535"	NA	4
"971"	2025	"Austria"	"Total"	"Total"	"9,019,944"	NA	4
"972"	2030	"Austria"	"Total"	"Total"	"9,223,982"	NA	4
"973"	2035	"Austria"	"Total"	"Total"	"9,379,369"	NA	4
"974"	2040	"Austria"	"Total"	"Total"	"9,481,330"	NA	4
"975"	2045	"Austria"	"Total"	"Total"	"9,526,653"	NA	4
"976"	2050	"Austria"	"Total"	"Total"	"9,499,919"	NA	4
"977"	2055	"Austria"	"Total"	"Total"	"9,403,524"	NA	4
"978"	2060	"Austria"	"Total"	"Total"	"9,273,112"	NA	4
"979"	2015	"Poland"	"Total"	"Total"	"38,498,313"	NA	4
"980"	2020	"Poland"	"Total"	"Total"	"38,357,658"	NA	4
"981"	2025	"Poland"	"Total"	"Total"	"37,964,910"	NA	4
"982"	2030	"Poland"	"Total"	"Total"	"37,337,593"	NA	4
"983"	2035	"Poland"	"Total"	"Total"	"36,583,498"	NA	4
"984"	2040	"Poland"	"Total"	"Total"	"35,779,617"	NA	4
"985"	2045	"Poland"	"Total"	"Total"	"34,899,537"	NA	4
"986"	2050	"Poland"	"Total"	"Total"	"33,947,859"	NA	4
"987"	2055	"Poland"	"Total"	"Total"	"32,919,514"	NA	4
"988"	2060	"Poland"	"Total"	"Total"	"31,815,130"	NA	4
"989"	2015	"Portugal"	"Total"	"Total"	"10,367,193"	NA	4
"990"	2020	"Portugal"	"Total"	"Total"	"10,133,036"	NA	4
"991"	2025	"Portugal"	"Total"	"Total"	"9,935,054"	NA	4
"992"	2030	"Portugal"	"Total"	"Total"	"9,734,955"	NA	4
"993"	2035	"Portugal"	"Total"	"Total"	"9,520,090"	NA	4
"994"	2040	"Portugal"	"Total"	"Total"	"9,278,370"	NA	4
"995"	2045	"Portugal"	"Total"	"Total"	"8,995,610"	NA	4
"996"	2050	"Portugal"	"Total"	"Total"	"8,662,719"	NA	4
"997"	2055	"Portugal"	"Total"	"Total"	"8,291,154"	NA	4
"998"	2060	"Portugal"	"Total"	"Total"	"7,902,882"	NA	4
"999"	2015	"Romania"	"Total"	"Total"	"19,908,429"	NA	4
"1000"	2020	"Romania"	"Total"	"Total"	"19,668,545"	NA	4
"1001"	2025	"Romania"	"Total"	"Total"	"19,334,822"	NA	4
"1002"	2030	"Romania"	"Total"	"Total"	"18,892,346"	NA	4
"1003"	2035	"Romania"	"Total"	"Total"	"18,506,510"	NA	4
"1004"	2040	"Romania"	"Total"	"Total"	"18,178,578"	NA	4
"1005"	2045	"Romania"	"Total"	"Total"	"17,822,114"	NA	4
"1006"	2050	"Romania"	"Total"	"Total"	"17,423,971"	NA	4
"1007"	2055	"Romania"	"Total"	"Total"	"17,003,273"	NA	4
"1008"	2060	"Romania"	"Total"	"Total"	"16,507,995"	NA	4
"1009"	2015	"Slovenia"	"Total"	"Total"	"2,066,420"	NA	4
"1010"	2020	"Slovenia"	"Total"	"Total"	"2,084,965"	NA	4
"1011"	2025	"Slovenia"	"Total"	"Total"	"2,086,403"	NA	4
"1012"	2030	"Slovenia"	"Total"	"Total"	"2,077,122"	NA	4
"1013"	2035	"Slovenia"	"Total"	"Total"	"2,064,410"	NA	4
"1014"	2040	"Slovenia"	"Total"	"Total"	"2,051,235"	NA	4
"1015"	2045	"Slovenia"	"Total"	"Total"	"2,036,479"	NA	4
"1016"	2050	"Slovenia"	"Total"	"Total"	"2,014,591"	NA	4
"1017"	2055	"Slovenia"	"Total"	"Total"	"1,983,919"	NA	4
"1018"	2060	"Slovenia"	"Total"	"Total"	"1,946,347"	NA	4
"1019"	2015	"Slovakia"	"Total"	"Total"	"5,416,631"	NA	4
"1020"	2020	"Slovakia"	"Total"	"Total"	"5,410,101"	NA	4
"1021"	2025	"Slovakia"	"Total"	"Total"	"5,368,786"	NA	4
"1022"	2030	"Slovakia"	"Total"	"Total"	"5,288,703"	NA	4
"1023"	2035	"Slovakia"	"Total"	"Total"	"5,178,229"	NA	4
"1024"	2040	"Slovakia"	"Total"	"Total"	"5,050,764"	NA	4
"1025"	2045	"Slovakia"	"Total"	"Total"	"4,911,401"	NA	4
"1026"	2050	"Slovakia"	"Total"	"Total"	"4,754,068"	NA	4
"1027"	2055	"Slovakia"	"Total"	"Total"	"4,579,590"	NA	4
"1028"	2060	"Slovakia"	"Total"	"Total"	"4,386,506"	NA	4
"1029"	2015	"Finland"	"Total"	"Total"	"5,478,230"	NA	4
"1030"	2020	"Finland"	"Total"	"Total"	"5,613,360"	NA	4
"1031"	2025	"Finland"	"Total"	"Total"	"5,739,785"	NA	4
"1032"	2030	"Finland"	"Total"	"Total"	"5,844,650"	NA	4
"1033"	2035	"Finland"	"Total"	"Total"	"5,919,216"	NA	4
"1034"	2040	"Finland"	"Total"	"Total"	"5,962,746"	NA	4
"1035"	2045	"Finland"	"Total"	"Total"	"5,979,210"	NA	4
"1036"	2050	"Finland"	"Total"	"Total"	"5,971,647"	NA	4
"1037"	2055	"Finland"	"Total"	"Total"	"5,945,236"	NA	4
"1038"	2060	"Finland"	"Total"	"Total"	"5,912,465"	NA	4
"1039"	2015	"Sweden"	"Total"	"Total"	"9,721,141"	NA	4
"1040"	2020	"Sweden"	"Total"	"Total"	"10,127,197"	NA	4
"1041"	2025	"Sweden"	"Total"	"Total"	"10,546,514"	NA	4
"1042"	2030	"Sweden"	"Total"	"Total"	"10,925,237"	NA	4
"1043"	2035	"Sweden"	"Total"	"Total"	"11,250,975"	NA	4
"1044"	2040	"Sweden"	"Total"	"Total"	"11,544,846"	NA	4
"1045"	2045	"Sweden"	"Total"	"Total"	"11,816,580"	NA	4
"1046"	2050	"Sweden"	"Total"	"Total"	"12,049,415"	NA	4
"1047"	2055	"Sweden"	"Total"	"Total"	"12,226,107"	NA	4
"1048"	2060	"Sweden"	"Total"	"Total"	"12,352,101"	NA	4
"1049"	2015	"United Kingdom"	"Total"	"Total"	"64,639,879"	NA	4
"1050"	2020	"United Kingdom"	"Total"	"Total"	"66,619,716"	NA	4
"1051"	2025	"United Kingdom"	"Total"	"Total"	"68,421,101"	NA	4
"1052"	2030	"United Kingdom"	"Total"	"Total"	"70,003,224"	NA	4
"1053"	2035	"United Kingdom"	"Total"	"Total"	"71,376,392"	NA	4
"1054"	2040	"United Kingdom"	"Total"	"Total"	"72,621,399"	NA	4
"1055"	2045	"United Kingdom"	"Total"	"Total"	"73,758,369"	NA	4
"1056"	2050	"United Kingdom"	"Total"	"Total"	"74,686,469"	NA	4
"1057"	2055	"United Kingdom"	"Total"	"Total"	"75,291,659"	NA	4
"1058"	2060	"United Kingdom"	"Total"	"Total"	"75,587,418"	NA	4
"1059"	2015	"Iceland"	"Total"	"Total"	"328,555"	NA	4
"1060"	2020	"Iceland"	"Total"	"Total"	"341,547"	NA	4
"1061"	2025	"Iceland"	"Total"	"Total"	"353,265"	NA	4
"1062"	2030	"Iceland"	"Total"	"Total"	"363,811"	NA	4
"1063"	2035	"Iceland"	"Total"	"Total"	"373,148"	NA	4
"1064"	2040	"Iceland"	"Total"	"Total"	"381,385"	NA	4
"1065"	2045	"Iceland"	"Total"	"Total"	"388,487"	NA	4
"1066"	2050	"Iceland"	"Total"	"Total"	"394,464"	NA	4
"1067"	2055	"Iceland"	"Total"	"Total"	"399,261"	NA	4
"1068"	2060	"Iceland"	"Total"	"Total"	"402,929"	NA	4
"1069"	2015	"Norway"	"Total"	"Total"	"5,176,930"	NA	4
"1070"	2020	"Norway"	"Total"	"Total"	"5,541,692"	NA	4
"1071"	2025	"Norway"	"Total"	"Total"	"5,935,103"	NA	4
"1072"	2030	"Norway"	"Total"	"Total"	"6,322,063"	NA	4
"1073"	2035	"Norway"	"Total"	"Total"	"6,678,184"	NA	4
"1074"	2040	"Norway"	"Total"	"Total"	"6,989,933"	NA	4
"1075"	2045	"Norway"	"Total"	"Total"	"7,250,356"	NA	4
"1076"	2050	"Norway"	"Total"	"Total"	"7,450,273"	NA	4
"1077"	2055	"Norway"	"Total"	"Total"	"7,595,077"	NA	4
"1078"	2060	"Norway"	"Total"	"Total"	"7,707,527"	NA	4
"1079"	2015	"Switzerland"	"Total"	"Total"	"8,223,543"	NA	4
"1080"	2020	"Switzerland"	"Total"	"Total"	"8,661,965"	NA	4
"1081"	2025	"Switzerland"	"Total"	"Total"	"9,096,833"	NA	4
"1082"	2030	"Switzerland"	"Total"	"Total"	"9,503,355"	NA	4
"1083"	2035	"Switzerland"	"Total"	"Total"	"9,863,846"	NA	4
"1084"	2040	"Switzerland"	"Total"	"Total"	"10,170,760"	NA	4
"1085"	2045	"Switzerland"	"Total"	"Total"	"10,419,583"	NA	4
"1086"	2050	"Switzerland"	"Total"	"Total"	"10,593,764"	NA	4
"1087"	2055	"Switzerland"	"Total"	"Total"	"10,690,931"	NA	4
"1088"	2060	"Switzerland"	"Total"	"Total"	"10,740,663"	NA	4
"1089"	2015	"European Union (28 countries)"	"Total"	"Total"	"507,340,900"	NA	2
"1090"	2020	"European Union (28 countries)"	"Total"	"Total"	"506,622,170"	NA	2
"1091"	2025	"European Union (28 countries)"	"Total"	"Total"	"503,766,219"	NA	2
"1092"	2030	"European Union (28 countries)"	"Total"	"Total"	"498,949,729"	NA	2
"1093"	2035	"European Union (28 countries)"	"Total"	"Total"	"492,664,193"	NA	2
"1094"	2040	"European Union (28 countries)"	"Total"	"Total"	"485,218,128"	NA	2
"1095"	2045	"European Union (28 countries)"	"Total"	"Total"	"476,492,657"	NA	2
"1096"	2050	"European Union (28 countries)"	"Total"	"Total"	"466,376,747"	NA	2
"1097"	2055	"European Union (28 countries)"	"Total"	"Total"	"454,969,505"	NA	2
"1098"	2060	"European Union (28 countries)"	"Total"	"Total"	"442,752,273"	NA	2
"1099"	2065	"European Union (28 countries)"	"Total"	"Total"	"430,572,319"	NA	2
"1100"	2070	"European Union (28 countries)"	"Total"	"Total"	"419,144,105"	NA	2
"1101"	2075	"European Union (28 countries)"	"Total"	"Total"	"408,712,850"	NA	2
"1102"	2080	"European Union (28 countries)"	"Total"	"Total"	"399,215,880"	NA	2
"1103"	2015	"Belgium"	"Total"	"Total"	"11,263,805"	NA	2
"1104"	2020	"Belgium"	"Total"	"Total"	"11,338,862"	NA	2
"1105"	2025	"Belgium"	"Total"	"Total"	"11,376,603"	NA	2
"1106"	2030	"Belgium"	"Total"	"Total"	"11,376,509"	NA	2
"1107"	2035	"Belgium"	"Total"	"Total"	"11,348,298"	NA	2
"1108"	2040	"Belgium"	"Total"	"Total"	"11,296,515"	NA	2
"1109"	2045	"Belgium"	"Total"	"Total"	"11,214,169"	NA	2
"1110"	2050	"Belgium"	"Total"	"Total"	"11,096,965"	NA	2
